run_group,cve_id,reason,candidate_count,fallback_candidate_count,contract_ok,parse_status,taxonomy
10,CVE-2020-14212,fallback_candidate_present,3,3,True,fenced_json,{}
10,CVE-2020-19667,fallback_candidate_present,3,3,True,fenced_json,{}
30,CVE-2020-12284,fallback_candidate_present,1,1,True,json,{}
30,CVE-2020-13904,fallback_candidate_present,5,5,True,json,{}
30,CVE-2020-14212,fallback_candidate_present,3,3,True,json,{}
30,CVE-2020-15466,fallback_candidate_present,2,2,True,fenced_json,{}
30,CVE-2020-19667,fallback_candidate_present,3,3,True,fenced_json,{}
30,CVE-2020-1971,fallback_candidate_present,2,2,True,fenced_json,{}
30,CVE-2020-25663,contract_or_parse_failure,2,0,False,fenced_json,"{""conflicting_evidence_not_uncertain"": 1}"
30,CVE-2020-27814,fallback_candidate_present,1,1,True,fenced_json,{}
30,CVE-2020-8169,fallback_candidate_present,4,4,True,fenced_json,{}
30,CVE-2022-0433,fallback_candidate_present,3,3,True,fenced_json,{}
