run_group,cve_id,candidate_count,prompt_bytes,raw_response_bytes
10,CVE-2020-14212,3,13240,6581
10,CVE-2020-19667,3,10706,4516
10,CVE-2020-8231,2,12849,5447
10,CVE-2020-11984,3,11822,2567
10,CVE-2022-0171,2,7816,4612
10,CVE-2022-0286,2,7597,3380
10,CVE-2020-15389,3,10859,6237
10,CVE-2020-1967,1,5211,2134
10,CVE-2020-11869,2,9658,4378
10,CVE-2020-13164,2,9004,4213
30,CVE-2020-10251,2,6554,3386
30,CVE-2020-10702,1,3881,2186
30,CVE-2020-11647,3,9602,5881
30,CVE-2020-11869,2,9658,3466
30,CVE-2020-11947,1,3797,1791
30,CVE-2020-11984,3,11822,7283
30,CVE-2020-11985,1,3903,1466
30,CVE-2020-11993,1,3927,2829
30,CVE-2020-12284,1,4037,1498
30,CVE-2020-13164,2,9004,4004
30,CVE-2020-13904,5,15858,8558
30,CVE-2020-14212,3,13240,5034
30,CVE-2020-15389,3,10859,2831
30,CVE-2020-15466,2,6980,3901
30,CVE-2020-19667,3,10706,6741
30,CVE-2020-1967,1,5211,2155
30,CVE-2020-1971,2,6997,3845
30,CVE-2020-25663,2,6396,2224
30,CVE-2020-27814,1,4069,1104
30,CVE-2020-27823,1,3821,2524
30,CVE-2020-8169,4,12403,5640
30,CVE-2020-8177,3,9018,5383
30,CVE-2020-8231,2,12849,3847
30,CVE-2021-23840,2,6765,4111
30,CVE-2022-0171,2,7816,5279
30,CVE-2022-0185,1,3717,2231
30,CVE-2022-0264,1,3758,1666
30,CVE-2022-0286,2,7597,2995
30,CVE-2022-0322,1,4010,2001
30,CVE-2022-0433,3,9672,6169
