cve_id,repo_id,candidate_count,strong_count,fallback_count,fix_commit_count,has_blame_disagreement,has_whitespace_sensitive,has_move_copy_sensitive,has_boundary_or_merge_candidate,has_ambiguous_relocation,has_not_found_or_path_missing,has_parent_absent_by_event,has_large_fallback_pool,has_anchor_local_diff,has_log_L_signal,has_pickaxe_signal,selection_types,selection_reason_zh
CVE-2020-11984,httpd,3,3,0,2,True,True,False,False,False,True,True,False,True,True,True,add_only_or_weak_old_side;blame_variant_disagreement;merge_equivalent_or_multi_fix;multi_branch_or_release_line_complex;relocation_problem;strong_lane_ready;whitespace_sensitive,覆盖 strong lane 候选可用样本；覆盖 blame variant 分歧样本；覆盖 whitespace-sensitive 样本；覆盖 relocation ambiguous / not_found / path_missing 样本；覆盖 add-only 或 weak old-side evidence 样本；覆盖 merge / equivalent-fix / multi-fix 样本；覆盖 multi-branch / release-line complex 样本；补充 repo 维度：httpd；候选池规模=3，strong=3，fallback=0
CVE-2020-15466,wireshark,2,0,2,1,True,True,True,False,False,False,True,False,True,True,True,add_only_or_weak_old_side;blame_variant_disagreement;fallback_only;move_copy_sensitive;whitespace_sensitive,覆盖 fallback-only 样本；覆盖 blame variant 分歧样本；覆盖 whitespace-sensitive 样本；覆盖 move/copy-sensitive 样本；覆盖 add-only 或 weak old-side evidence 样本；补充 repo 维度：wireshark；候选池规模=2，strong=0，fallback=2
CVE-2022-0286,linux,2,2,0,1,True,False,True,False,False,False,True,False,True,True,True,add_only_or_weak_old_side;blame_variant_disagreement;move_copy_sensitive;strong_lane_ready,覆盖 strong lane 候选可用样本；覆盖 blame variant 分歧样本；覆盖 move/copy-sensitive 样本；覆盖 add-only 或 weak old-side evidence 样本；补充 repo 维度：linux；候选池规模=2，strong=2，fallback=0
CVE-2020-25663,ImageMagick,2,2,0,1,True,False,True,True,True,False,False,False,True,True,True,blame_variant_disagreement;merge_equivalent_or_multi_fix;move_copy_sensitive;multi_branch_or_release_line_complex;relocation_problem;strong_lane_ready,覆盖 strong lane 候选可用样本；覆盖 blame variant 分歧样本；覆盖 move/copy-sensitive 样本；覆盖 relocation ambiguous / not_found / path_missing 样本；覆盖 merge / equivalent-fix / multi-fix 样本；覆盖 multi-branch / release-line complex 样本；补充 repo 维度：ImageMagick；候选池规模=2，strong=2，fallback=0
CVE-2022-0171,linux,2,2,0,1,True,False,True,False,False,False,True,False,True,True,True,add_only_or_weak_old_side;blame_variant_disagreement;move_copy_sensitive;strong_lane_ready,覆盖 strong lane 候选可用样本；覆盖 blame variant 分歧样本；覆盖 move/copy-sensitive 样本；覆盖 add-only 或 weak old-side evidence 样本；补充 repo 维度：linux；候选池规模=2，strong=2，fallback=0
CVE-2020-1971,openssl,2,0,2,1,True,True,False,False,False,False,True,False,True,True,True,add_only_or_weak_old_side;blame_variant_disagreement;fallback_only;whitespace_sensitive,覆盖 fallback-only 样本；覆盖 blame variant 分歧样本；覆盖 whitespace-sensitive 样本；覆盖 add-only 或 weak old-side evidence 样本；补充 repo 维度：openssl；候选池规模=2，strong=0，fallback=2
CVE-2020-19667,ImageMagick,3,0,3,1,True,True,False,True,True,False,False,True,True,True,True,add_only_or_weak_old_side;blame_variant_disagreement;fallback_only;merge_equivalent_or_multi_fix;multi_branch_or_release_line_complex;relocation_problem;whitespace_sensitive,覆盖 fallback-only 样本；覆盖 blame variant 分歧样本；覆盖 whitespace-sensitive 样本；覆盖 relocation ambiguous / not_found / path_missing 样本；覆盖 add-only 或 weak old-side evidence 样本；覆盖 merge / equivalent-fix / multi-fix 样本；覆盖 multi-branch / release-line complex 样本；补充 repo 维度：ImageMagick；候选池规模=3，strong=0，fallback=3
CVE-2020-15389,openjpeg,3,3,0,1,True,True,False,False,True,False,True,False,True,True,True,add_only_or_weak_old_side;blame_variant_disagreement;relocation_problem;strong_lane_ready;whitespace_sensitive,覆盖 strong lane 候选可用样本；覆盖 blame variant 分歧样本；覆盖 whitespace-sensitive 样本；覆盖 relocation ambiguous / not_found / path_missing 样本；覆盖 add-only 或 weak old-side evidence 样本；补充 repo 维度：openjpeg；候选池规模=3，strong=3，fallback=0
CVE-2020-12284,FFmpeg,1,0,1,3,False,False,False,False,False,False,True,False,True,True,True,add_only_or_weak_old_side;fallback_only;merge_equivalent_or_multi_fix;multi_branch_or_release_line_complex,覆盖 fallback-only 样本；覆盖 add-only 或 weak old-side evidence 样本；覆盖 merge / equivalent-fix / multi-fix 样本；覆盖 multi-branch / release-line complex 样本；补充 repo 维度：FFmpeg；候选池规模=1，strong=0，fallback=1
CVE-2020-8169,curl,4,0,4,1,False,False,False,False,False,False,True,True,True,True,True,add_only_or_weak_old_side;fallback_only,覆盖 fallback-only 样本；覆盖 add-only 或 weak old-side evidence 样本；补充 repo 维度：curl；候选池规模=4，strong=0，fallback=4
